Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
28316,BLAIRSTOWN,IA,52209,Johnston,IA,50131,NA,NA,NA,618000,10/5/1999,2000,ALP,3.25,1,240,112112,BENTON,IA,CORPORATION,0,NA,0,Midwest,11,3564,618000,NA,240,YES,YES
28362,FERNLEY,NV,89408,Las Vegas,NV,89144,NA,NA,NA,416000,10/12/1999,2000,ALP,3.25,1,240,NA,LYON,NV,CORPORATION,0,NA,0,West,NA,3571,416000,NA,240,YES,YES
28388,"YAKIMA,",WA,98903,Seattle,WA,98168,NA,NA,NA,183000,10/14/1999,2000,504,3.25,1,240,NA,YAKIMA,WA,CORPORATION,0,NA,0,West,NA,3573,183000,NA,240,YES,YES
28393,PUEBLO WEST,CO,81007,Pueblo,CO,81003,NA,NA,NA,284000,10/14/1999,2000,504,3.25,1,240,811192,PUEBLO,CO,CORPORATION,0,NA,0,West,81,3573,284000,NA,240,YES,YES
28466,ELKHART,IN,46514,Indianapolis,IN,46240,NA,NA,NA,1000000,10/26/1999,2000,ALP,3.25,1,240,NA,ELKHART,IN,CORPORATION,0,NA,0,Midwest,NA,3585,1.00E+06,NA,240,YES,YES
28470,AUGUSTA,GA,30909,Augusta,GA,30907,NA,NA,NA,342000,10/26/1999,2000,ALP,3.25,1,240,NA,RICHMOND,GA,CORPORATION,0,NA,0,South,NA,3585,342000,NA,240,YES,YES
28514,CAMARILLO,CA,93010,Davis,CA,95616,NA,NA,NA,95000,10/29/1999,2000,PCLP,3.25,1,240,561510,VENTURA,CA,CORPORATION,0,NA,0,West,56,3588,95000,NA,240,YES,YES
28524,GREENSBORO,NC,27405,Durham,NC,27701,NA,NA,NA,224000,11/1/1999,2000,ALP,3.25,1,240,561740,GUILFORD,NC,CORPORATION,0,NA,0,South,56,3591,224000,NA,240,YES,YES
28636,HENDERSON,TN,38340,Paris,TN,38242,NA,NA,NA,538000,11/15/1999,2000,504,3.25,1,240,441110,CHESTER,TN,PARTNERSHIP,0,NA,0,South,44,3605,538000,NA,240,YES,YES
28643,FORT DODGE,IA,50501,Johnston,IA,50131,NA,NA,NA,278000,11/15/1999,2000,ALP,3.25,1,240,NA,WEBSTER,IA,CORPORATION,0,NA,0,Midwest,NA,3605,278000,NA,240,YES,YES
28679,PERRIS,CA,92571,San Diego,CA,92106,NA,NA,NA,467000,11/18/1999,2000,ALP,3.25,1,240,327331,RIVERSIDE,CA,CORPORATION,0,NA,0,West,32,3608,467000,NA,240,YES,YES
28706,SPANISH FORK (CORPORATE NAME F,UT,84660,Salt Lake City,UT,84109,NA,NA,NA,446000,11/19/1999,2000,PCLP,3.25,1,240,NA,UTAH,UT,CORPORATION,0,NA,0,West,NA,3609,446000,NA,240,YES,YES
28757,CLEARFIELD,UT,84015,Salt Lake City,UT,84109,NA,NA,NA,558000,11/26/1999,2000,504,3.25,1,240,NA,DAVIS,UT,CORPORATION,0,NA,0,West,NA,3616,558000,NA,240,YES,YES
28762,CHATTANOOGA,TN,37408,Chattanooga,TN,37401,NA,NA,NA,102000,11/29/1999,2000,504,3.25,1,240,334112,HAMILTON,TN,CORPORATION,0,NA,0,South,33,3619,102000,NA,240,YES,YES
28811,RICHMOND,CA,94804,San Francisco,CA,94133,NA,NA,NA,172000,12/3/1999,2000,ALP,3.25,1,240,235110,CONTRA COSTA,CA,CORPORATION,0,NA,0,West,23,3623,172000,NA,240,YES,YES
28818,MALBIS,AL,36526,Mobile,AL,36693,NA,NA,NA,543000,12/6/1999,2000,504,3.25,1,240,NA,MOBILE,AL,CORPORATION,1,8/28/2008,481011,South,NA,3626,543000,0.885839779,106,YES,YES
