,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1990,95.93729148,97.55401518,97.50343858,95.97306858,96.10250667,94.07050619,97.52717927,97.03107247,96.10379586,97.626159,96.20435515,97.12827728,96.38848124,97.7510404,98.1885544,97.13950186,97.30639992,95.97423244,95.71398745,95.90759962,96.32896382,98.32724174,96.22123727,97.28251922,97.66806074,93.92220446,97.29619403,95.02559153,97.12125521,96.3861027,96.12645247,96.87968802,97.80004832,96.3470882,98.40906675,96.90328516,94.13851291,96.93928446,96.67768561,97.24307484,96.11072367,97.06701551,96.39961929,94.89922325,95.97474885,96.34463512,95.32763347,97.00660142,97.29272588,94.20134586
1991,100.7825,101.6175,101.0875,100.3525,99.3325,101.015,97.5275,100.015,100.155,100.095,98.9525,101.2025,102.1,100.9525,100.3525,99.855,100.6525,102.44,98.0825,100.2425,100.835,101.1,99.6075,100.7275,99.795,105.1125,100.24,99.9275,101.095,97.9525,99.5125,101.345,100.33,99.47,100.9975,100.75,102.67,100.11,97.3925,101.0325,101.6,100.5175,100.0375,101.49,99.6425,98.8825,101.125,101.8825,100.6625,102.9675
1992,103.385,105.78,104.25,102.5125,97.31,109.0825,95.5925,100.12,101.59,102.065,101.325,106.3925,110.1575,104.8,104.05,102.6625,104.81,107.8725,96.8275,101.94,100.7925,104.655,102.8775,103.245,103.8675,115.8,102.945,103.54,107.9425,94.335,100.9275,107.8575,102.9,100.8725,105.63,103.2375,111.505,102.015,95.355,104.0025,108.2,103.325,102.41,109.7075,101.0325,100.03,105.59,108.485,105.8425,108.7725
1993,107.16,110.7775,109.9425,106.29,91.74,121.58,91.775,99.0375,103.9275,104.58,101.285,113.905,120.375,109.13,108.97,107.695,109.8575,114.4925,96.0375,101.6275,97.56,107.5625,107.6975,106.64,107.315,129.9625,106.08,110.6675,115.5925,92.51,101.2875,116.485,105.18,100.38,110.3225,108.2775,121.255,103.2475,92.9425,106.6,116.0975,107.245,105.6875,125.1925,101.8625,100.73,110.8075,117.055,111.765,117.0625
1994,111.0175,116.0675,116.8575,113.12,87.8475,136.4625,91.6375,99.2325,107.0625,108.325,99.3525,120.8,129.735,114.245,114.0975,114.6825,116.2125,121.8225,97.4375,102.06,97.9325,113.1475,112.6575,112.335,113.6875,142.82,111.855,117.45,122.0175,93.9225,102.12,129.1575,108.895,99.225,115.73,113.5725,134.08,104.7975,92.48,110.39,124.47,113.605,109.3725,145.6675,104.05,101.27,117.2425,125.68,118.455,130.23
1995,116,120.0875,121.5825,119.56,85.575,144.8975,90.72,99.58,109.59,112.7475,96.12,126.335,135.225,117.7875,119.3325,120.84,121.16,127.1,99.1125,101.5925,98.305,121.6675,116.77,117.1425,118.4275,150.8975,117.065,121.88,128.22,94.8275,101.755,135.9325,112.47,98.5575,120.6775,116.7125,145.1925,104.7475,91.865,114.12,128.65,120.0325,111.7,159.23,105.5075,99.92,119.68,131.2175,123.8125,139.6975
1996,120.995,124.7725,125.2575,125.0175,84.87,152.7925,91.065,100.1175,111.96,117.765,90.77,131.83,137.815,121.345,124.3375,126.055,126.0825,133.615,102.8675,102.35,101.685,131.5475,122.445,122.1775,122.78,156.94,122.6025,124.9175,134.525,97.645,102.52,138.2625,114.825,99.1525,125.965,120.7825,155.3725,105.855,91,119.01,134.715,126.0675,114.2675,171.84,107.4475,102.86,122.0425,136.19,127.0425,145.1175
1997,124.0575,128.5525,128.115,129.4825,86.8325,160.21,92.2725,101.15,114.6275,122.765,82.8675,135.9225,140.2175,123.7125,127.685,130.7,130.9625,138.495,107.675,102.8625,103.37,140.06,127.2275,126.1175,126.6275,160.87,127.79,128.3375,141.335,102.1825,104.07,139.3625,117.145,100.425,129.675,124.0975,164.0525,106.985,91.6775,123.3875,139.11,130.76,116.835,178.105,109.7225,101.8975,127.175,140.5275,129.21,148.715
1998,128.3175,133.085,130.98,135.835,94.6,170.42,96.7,104.615,119.4775,129.84,83.56,142.565,143.33,127.3475,132.0575,138.41,135.9425,145.165,117.2175,105.5175,109.15,148.98,135.1475,131.8575,131.8375,164.2075,132.89,132.8675,148.805,110.095,108.785,141.3275,118.3425,104.9775,134.45,129.6,169.28,109.45,95.5325,129.1725,144.5275,135.8725,122.8675,184.36,112.8875,106.025,136.1175,146.295,132.49,153.3725
1999,132.1325,137.905,135.51,144.0875,104.2975,187.1475,104.9075,110.505,125.9575,139.085,83.8075,149.5575,147.7925,133.92,136.8475,146.2575,143.0525,150.615,130.605,111.205,117.62,159.2875,148.4925,139.32,137.555,169.88,138.735,136.11,155.4875,121.2725,116.405,144.59,121.89,113.22,140.725,136.2125,175.64,113.6775,102.4975,136.535,150.975,141.535,130.62,189.05,119.2,111.7475,144.545,154.2375,135.76,157.9575
