,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1990,7.23,6.80,6.93,5.27,5.78,5.23,5.13,6.27,4.72,6.13,5.47,2.68,4.42,5.54,6.19,5.31,4.32,5.98,6.19,6.29,4.46,5.34,7.63,4.78,5.86,7.62,5.98,4.12,4.03,2.35,5.67,5.05,6.57,4.73,5.37,5.67,5.68,5.50,5.49,6.38,4.83,3.78,5.38,6.35,4.39,4.46,5.00,5.27,4.38,8.46,5.33
1991,8.46,7.37,7.43,5.98,7.78,5.26,6.60,7.77,6.22,7.59,5.24,2.88,4.68,6.19,7.27,5.98,4.42,7.31,7.29,8.66,6.13,7.57,9.24,5.18,6.59,8.59,6.90,5.82,4.38,2.65,7.30,6.72,7.16,5.85,7.28,6.50,6.31,6.41,7.10,8.60,6.15,3.49,6.78,6.93,4.72,5.93,6.57,6.37,5.48,10.68,5.24
1992,8.92,7.57,7.08,7.56,9.29,6.01,7.54,8.61,5.42,8.23,6.90,4.33,4.47,6.36,7.92,6.56,4.49,6.87,8.03,8.47,6.78,7.28,8.93,5.13,6.21,8.05,6.75,6.04,4.75,2.87,7.28,8.38,7.17,6.64,8.61,7.36,5.99,7.39,7.60,8.87,6.74,3.33,6.50,7.63,4.84,6.28,6.11,7.34,5.11,11.31,5.58
1993,7.71,7.35,6.14,6.41,9.43,5.32,6.60,8.53,5.06,7.10,6.03,4.49,4.06,5.98,7.46,5.38,4.96,6.25,7.62,6.95,6.18,7.24,7.23,4.98,6.23,6.58,6.03,5.03,4.29,2.76,6.12,7.60,6.97,6.85,7.90,6.62,5.94,7.04,6.94,7.73,7.27,3.34,5.82,7.16,4.07,5.24,5.15,7.33,4.78,10.64,5.38
1994,7.57,6.18,5.37,6.14,8.60,4.24,5.58,7.97,4.78,6.41,5.20,5.51,3.51,5.41,5.74,4.84,4.88,5.38,7.83,6.02,5.25,6.99,5.96,4.05,5.04,6.24,5.23,4.37,3.71,2.63,4.73,6.81,6.47,6.18,6.94,5.54,5.53,5.43,6.24,6.90,6.21,3.28,4.83,6.48,3.78,4.84,4.57,6.54,4.48,8.83,4.96
1995,7.32,5.93,4.84,5.36,7.88,4.01,5.49,8.75,4.33,5.53,4.83,5.88,3.45,5.41,5.15,4.60,4.41,5.41,6.98,5.28,5.05,5.94,5.26,3.73,4.72,6.19,5.65,4.31,3.23,2.64,3.98,6.41,6.58,5.57,6.32,4.78,4.59,4.90,5.87,6.32,5.19,3.04,5.16,6.05,3.50,4.53,4.26,6.43,3.76,7.90,4.78
1996,7.58,5.23,5.24,5.56,7.25,4.22,5.50,8.42,5.09,5.15,4.68,6.26,3.53,5.30,5.28,4.05,4.23,5.45,6.59,4.44,5.03,5.21,4.89,3.93,4.75,6.03,5.33,4.30,2.90,2.74,3.81,6.14,7.22,5.04,6.26,4.99,4.07,5.70,5.46,5.45,5.79,3.15,5.14,5.68,3.35,4.44,4.28,6.04,3.63,7.48,4.94
1997,7.14,4.97,5.21,4.58,6.35,3.45,4.99,8.01,4.01,4.77,4.54,6.23,3.09,5.13,4.77,3.49,3.75,5.33,5.98,3.91,4.94,5.03,4.23,3.25,4.34,5.65,5.34,3.75,2.73,2.49,3.32,5.28,6.32,4.38,6.42,4.62,4.07,5.66,5.12,5.13,4.58,2.93,5.23,5.30,3.18,3.83,3.91,4.93,3.55,6.85,4.76
1998,6.36,4.38,5.15,4.28,5.93,3.59,3.43,8.42,3.70,4.30,4.25,6.09,2.74,5.10,4.43,3.08,3.52,4.60,5.68,3.28,4.39,4.49,3.95,2.68,4.12,5.25,5.52,3.43,2.89,2.55,2.82,4.57,6.05,4.21,5.61,4.32,4.24,5.73,4.61,4.60,3.78,2.79,4.30,4.84,3.64,2.90,3.40,4.77,3.36,6.61,4.70
1999,6.47,4.73,4.59,4.41,5.24,3.07,2.88,6.37,3.41,3.88,3.92,5.40,2.59,4.90,4.37,3.04,3.27,4.50,5.08,3.18,3.56,3.94,3.69,2.77,3.31,5.10,5.25,3.19,3.29,2.78,2.70,4.51,5.55,3.97,5.18,4.28,3.52,5.51,4.37,4.14,4.26,2.73,3.95,4.67,3.53,2.75,2.96,4.90,3.13,6.44,4.62
